CASE_ID,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_AGE,VICTIM_SEX,severity_1_4
5926102,1,2,51,M,1
5926102,2,2,11,M,1
5926106,1,1,64,M,1
5926106,1,1,59,M,1
5926106,1,1,33,M,1
5926106,1,2,9,F,1
5926106,2,2,43,F,1
5926106,2,2,57,F,1
5926106,3,2,66,F,1
5926118,1,1,65,M,1
5926159,1,1,45,M,1
5926164,1,1,38,M,1
5926164,1,2,56,F,1
5926172,1,1,49,M,1
5926172,2,2,24,M,1
5926620,1,1,54,M,2
5926626,1,1,42,M,1
5926670,1,2,998,M,1
5926670,2,2,7,M,1
5926687,1,1,52,M,1
5926687,2,2,58,F,3
5926694,1,1,47,M,1
5926694,1,1,42,M,1
5926694,2,2,37,F,1
5926694,3,2,1,F,1
5926944,1,1,61,M,1
5926944,1,2,19,F,1
5926944,2,2,2,M,1
5928337,1,1,63,M,1
5928337,1,1,57,M,1
5928337,2,2,70,M,1
5928337,2,2,68,F,1
5928345,1,1,38,M,2
5928349,1,2,16,F,1
5928350,1,2,16,F,1
5928362,1,2,27,F,2
5928362,2,2,3,F,1
5928362,3,2,0,F,1
5928362,4,1,31,M,2
5928363,1,1,22,M,2
5928363,1,2,26,M,1
5928363,2,2,26,M,1
5928365,1,1,31,M,2
5928381,1,2,58,F,1
5928381,2,2,19,M,1
5928381,3,2,13,F,1
5928385,1,2,62,F,1
5928385,2,2,64,M,1
5929288,1,1,22,F,1
5929288,1,1,26,M,2
5929288,2,2,14,M,1
5929304,1,1,54,F,1
5929304,2,2,5,F,1
5929304,3,2,21,M,1
5929312,1,2,17,M,3
5929312,1,2,18,M,1
5929312,1,1,24,F,1
5929312,2,2,38,M,2
5929312,2,2,30,F,1
5929312,3,1,30,F,1
5929312,3,2,14,F,1
5929455,1,1,35,M,2
5929455,1,1,25,F,1
5929455,1,2,39,M,1
5929455,2,2,2,M,1
5929455,3,2,3,M,1
5929455,4,2,56,M,1
5929455,5,2,32,M,1
5929455,6,2,0,F,1
